label,start_ticks,duration_ticks,frame,value
Bounds,3326264,3803,1500,0
VIF1_WAIT_START,3370853,0,1500,192
GIF_STATE,3370853,0,1500,0
VIF1_WAIT_END,3371188,0,1500,192
GIF_STATE,3371188,0,1500,0
VIF1_DMA_wait,3370755,522,1500,0
GIF_DMA_wait,3371529,45,1500,0
Packet_qwords,3378087,0,1500,141
VIF1_submit,3378028,5139,1500,0
VIF1_WAIT_START,3391692,0,1500,150995142
GIF_STATE,3391692,0,1500,0
VIF1_WAIT_END,3451849,0,1500,70
GIF_STATE,3451849,0,1500,0
VIF1_DMA_wait,3391633,60486,1500,0
GIF_DMA_wait,3452370,129,1500,0
Packet_qwords,3455479,0,1500,43
VIF1_submit,3455471,4455,1500,0
Dispatch,3336819,124170,1500,0
Static_bag,3326082,134952,1500,0
Bounds,3463297,5972,1500,0
VIF1_WAIT_START,3509057,0,1500,192
GIF_STATE,3509057,0,1500,0
VIF1_WAIT_END,3509398,0,1500,192
GIF_STATE,3509398,0,1500,0
VIF1_DMA_wait,3508959,542,1500,0
GIF_DMA_wait,3509721,45,1500,0
Packet_qwords,3516123,0,1500,141
VIF1_submit,3516066,5215,1500,0
VIF1_WAIT_START,3530000,0,1500,150995142
GIF_STATE,3530000,0,1500,0
VIF1_WAIT_END,3590345,0,1500,70
GIF_STATE,3590345,0,1500,0
VIF1_DMA_wait,3529941,60694,1500,0
GIF_DMA_wait,3590886,129,1500,0
Packet_qwords,3594019,0,1500,43
VIF1_submit,3594011,4443,1500,0
Dispatch,3476689,122790,1500,0
Static_bag,3462455,137069,1500,0
Bounds,3601690,5781,1500,0
Static_bag,3600883,6780,1500,0
Bounds,3608260,2705,1500,0
Static_bag,3608029,3126,1500,0
Bounds,3611876,3449,1500,0
VIF1_WAIT_START,3685259,0,1500,192
GIF_STATE,3685259,0,1500,0
VIF1_WAIT_END,3685762,0,1500,192
GIF_STATE,3685762,0,1500,0
VIF1_DMA_wait,3685161,722,1500,0
GIF_DMA_wait,3686157,45,1500,0
Packet_qwords,3692583,0,1500,134
VIF1_submit,3692525,4946,1500,0
Dispatch,3622659,75924,1500,0
Static_bag,3611692,86936,1500,0
Bounds,3700679,6064,1500,0
VIF1_WAIT_START,3777833,0,1500,64
GIF_STATE,3777833,0,1500,0
VIF1_WAIT_END,3778292,0,1500,64
GIF_STATE,3778292,0,1500,0
VIF1_DMA_wait,3777735,722,1500,0
GIF_DMA_wait,3778672,83,1500,0
Packet_qwords,3784779,0,1500,127
VIF1_submit,3784719,5362,1500,0
Dispatch,3714343,77012,1500,0
Static_bag,3699983,91417,1500,0
Terrain,2342245,1450286,1500,0
Bounds,3794909,5534,1500,0
VIF1_WAIT_START,3818514,0,1500,150995014
GIF_STATE,3818514,0,1500,0
VIF1_WAIT_END,3849408,0,1500,198
GIF_STATE,3849408,0,1500,0
VIF1_DMA_wait,3818457,31100,1500,0
GIF_DMA_wait,3849737,96,1500,0
Packet_qwords,3851217,0,1500,34
VIF1_submit,3851168,4908,1500,0
Dispatch,3806893,50010,1500,0
Static_bag,3794369,62579,1500,0
Bounds,3858659,4384,1500,0
Static_bag,3858177,5058,1500,0
Bounds,3864065,2852,1500,0
VIF1_WAIT_START,3888930,0,1500,192
