
== garage-day   (baseline: ctl1)
metric                          ctl1        ctl2    ctlquiet          a1          a2          b2          b1      attrib      d ctl2  d ctlquiet        d a1        d a2        d b2        d b1    d attrib
packet_included_ms             0.764       0.766       0.796       0.886       1.212       0.959       0.960       0.772      +0.002      +0.032      +0.122      +0.448      +0.195      +0.196      +0.008
dma_included_ms                0.831       0.833       0.795       0.861       1.018       0.774       0.516       0.779      +0.003      -0.036      +0.030      +0.187      -0.057      -0.315      -0.052
vif_wait_included_ms           1.358       1.353       1.423       1.833       1.514       1.275       1.284       1.314      -0.004      +0.066      +0.475      +0.157      -0.083      -0.074      -0.043
flushes                       44.000      44.000      44.000      47.000      55.000      44.000      44.000      44.000      +0.000      +0.000      +3.000     +11.000      +0.000      +0.000      +0.000
triangles                  16385.500   16385.500   16385.500   21580.500   19049.500   16385.500   16385.500   16385.500      +0.000      +0.000   +5195.000   +2664.000      +0.000      +0.000      +0.000
reuploads                      0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      +0.000      +0.000      +0.000      +0.000      +0.000      +0.000      +0.000

== outer-night   (baseline: ctl1)
metric                          ctl1        ctl2    ctlquiet          a1          a2          b2          b1      attrib      d ctl2  d ctlquiet        d a1        d a2        d b2        d b1    d attrib
work_ms                       22.251      22.156      16.517      22.922      24.713      29.084      25.063      26.735      -0.095      -5.734      +0.671      +2.462      +6.832      +2.812      +4.483
total_ms                      29.791      29.541      19.955      30.459      38.376      41.042      38.291      33.455      -0.250      -9.836      +0.668      +8.585     +11.251      +8.499      +3.664
update_ms                      7.846       7.732       2.880       7.584       8.104      11.371       7.703      11.774      -0.114      -4.965      -0.261      +0.259      +3.526      -0.143      +3.929
submit_ms                     12.867      12.897      12.085      13.831      15.094      16.205      15.847      13.431      +0.030      -0.782      +0.964      +2.227      +3.338      +2.980      +0.564
finish_ms                      1.539       1.527       1.552       1.507       1.515       1.508       1.513       1.529      -0.012      +0.013      -0.032      -0.024      -0.031      -0.026      -0.010
present_ms                     7.540       7.385       3.438       7.537      13.663      11.958      13.228       6.720      -0.155      -4.102      -0.003      +6.123      +4.418      +5.688      -0.820
bounds_included_ms             1.953       1.955       1.872       1.954       2.056       2.102       2.080       2.416      +0.002      -0.081      +0.001      +0.103      +0.149      +0.127      +0.463
prepare_included_ms            1.319       1.323       1.375       1.387       1.275       1.438       1.436       1.353      +0.004      +0.057      +0.068      -0.043      +0.119      +0.118      +0.035
dispatch_included_ms           6.384       6.387       5.765       7.246       8.531       9.345       9.013       6.360      +0.003      -0.619      +0.862      +2.147      +2.961      +2.629      -0.024
packet_included_ms             0.803       0.805       0.847       0.916       1.255       0.996       0.989       0.811      +0.001      +0.044      +0.113      +0.452      +0.193      +0.186      +0.007
dma_included_ms                0.907       0.905       0.843       0.930       1.087       0.839       0.548       0.845      -0.002      -0.065      +0.022      +0.180      -0.068      -0.359      -0.062
vif_wait_included_ms           1.321       1.315       1.377       1.802       1.503       1.257       1.284       1.291      -0.006      +0.055      +0.481      +0.182      -0.065      -0.038      -0.031
flushes                       48.000      48.000      48.000      51.000      59.000      48.000      48.000      48.000      +0.000      +0.000      +3.000     +11.000      +0.000      +0.000      +0.000
triangles                  16717.500   16717.500   16717.500   21932.500   19381.500   16717.500   16717.500   16717.500      +0.000      +0.000   +5215.000   +2664.000      +0.000      +0.000      +0.000
reuploads                      0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      +0.000      +0.000      +0.000      +0.000      +0.000      +0.000      +0.000
