frame,phase,update_ms,submit_ms,finish_ms,present_ms,total_ms,bounds_included_ms,prepare_included_ms,dispatch_included_ms,packet_included_ms,dma_included_ms,vif_wait_included_ms,flushes,triangles,uploads,reuploads
159,0,2.100528,9.410685,0.528137,7.944946,19.984297,0.541372,0.334503,5.448368,0.751804,0.372721,3.794417,21,10297,0,0
160,0,2.098358,9.440186,0.529331,7.877428,19.945302,0.462721,0.293833,5.556776,0.634311,0.385437,3.899082,21,10297,0,0
161,0,2.101790,9.435791,0.526076,7.901008,19.964664,0.465973,0.297482,5.570892,0.797156,0.347100,3.900387,21,10297,0,0
162,0,2.099389,9.454936,0.524468,7.859138,19.937931,0.508216,0.363620,5.489261,0.675252,0.366950,3.886186,21,10297,0,0
163,0,2.119551,9.466817,0.525831,7.853278,19.965478,0.468309,0.327257,5.523512,0.676721,0.348239,3.893568,21,10297,0,0
164,0,2.143049,9.498779,0.524984,7.798319,19.965132,0.463030,0.324144,5.607466,0.630280,0.410801,3.969486,21,10297,0,0
165,0,2.088626,9.446940,0.553155,7.876614,19.965335,0.501424,0.286869,5.545675,0.669461,0.382073,3.905460,21,10297,0,0
166,0,2.102461,9.480733,0.530802,7.850688,19.964684,0.461504,0.290293,5.539642,0.678952,0.383111,3.940708,21,10297,0,0
167,0,2.101179,9.443298,0.526367,7.867798,19.938643,0.465471,0.356388,5.527568,0.605838,0.372830,3.987108,21,10297,0,0
168,0,2.103031,9.457967,0.525648,7.877855,19.964501,0.503042,0.326881,5.493405,0.591668,0.411404,3.934713,21,10297,0,0
169,0,2.104353,9.408162,0.526449,7.926066,19.965030,0.633935,0.326626,5.375271,0.584815,0.349355,3.910149,21,10297,0,0
170,0,2.102197,9.472412,0.525411,7.865092,19.965112,0.465335,0.285411,5.538520,0.716359,0.346429,3.901055,21,10297,0,0
171,0,2.122297,9.449727,0.524794,7.867499,19.964318,0.498176,0.343129,5.529405,0.592017,0.382541,3.910346,21,10297,0,0
172,0,2.129866,9.413818,0.543660,7.877441,19.964786,0.468306,0.291948,5.550968,0.759013,0.347534,3.864461,21,10297,0,0
173,0,2.103356,9.452698,0.527642,7.855252,19.938948,0.609290,0.288913,5.443973,0.632585,0.351963,3.897881,21,10297,0,0
174,0,2.104170,9.419230,0.527140,7.913981,19.964522,0.581431,0.350793,5.366560,0.589023,0.349813,3.876295,21,10297,0,0
175,0,2.104028,9.435954,0.527581,7.897224,19.964786,0.635230,0.291524,5.408613,0.652259,0.347768,3.847707,21,10297,0,0
176,0,2.102481,9.422201,0.526869,7.912971,19.964522,0.636980,0.291951,5.371412,0.586233,0.349447,3.908156,21,10297,0,0
177,0,2.103682,9.515442,0.527466,7.818258,19.964847,0.493601,0.326786,5.583808,0.705190,0.381924,3.890835,21,10297,0,0
178,0,2.102909,9.479024,0.524489,7.834215,19.940637,0.543620,0.293755,5.537920,0.634616,0.397502,3.946764,21,10297,0,0
179,0,2.120731,9.403280,0.529236,7.911621,19.964867,0.619368,0.294603,5.387861,0.588708,0.349094,3.922007,21,10297,0,0
180,0,2.122603,9.451253,0.533162,7.851359,19.958377,0.492791,0.289859,5.579936,0.717194,0.346720,3.951525,21,10297,0,0
181,0,2.103193,9.448039,0.526320,7.886949,19.964501,0.463877,0.326721,5.543413,0.710863,0.380731,3.927846,21,10297,0,0
182,0,2.102054,9.449259,0.526320,7.887234,19.964867,0.497447,0.323778,5.514353,0.692715,0.348009,3.909668,21,10297,0,0
183,0,2.100901,9.447388,0.525126,7.891642,19.965057,0.529626,0.292213,5.523112,0.717516,0.347531,3.891632,21,10297,0,0
