f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,t0,t1,t2,t3,t4,weight,frame,object,side
0.0,0.3125,0.005161633333333333,0.18156833333333333,0.006009836363636363,0.076672,0.03708466666666667,0.0,0.0,0.0,0.0,0.0,-0.0032194181818181815,0.03904666666666667,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.35,40.0,0.0,0.0
0.0,0.3125,-0.00019082666666666667,-0.0049266833333333334,0.005505472727272726,-0.00231166,0.076672,0.0,0.0,0.0,0.0,0.0,0.0009685436363636363,0.01919466666666667,0.0,-0.8399996000000001,0.0,0.0,0.0,0.34486,1.0,4.38458,41.0,0.0,0.0
0.0,0.3125,0.0003111566666666667,-0.0035646166666666664,0.007563781818181818,0.009433966666666667,-0.00231166,0.0,0.0,0.0,0.0,0.0,0.0041342363636363635,0.014509533333333333,0.0,-0.6799999999999999,0.0,0.0,0.0,0.3420295,0.0,1.3760884999999998,42.0,0.0,0.0
0.0,0.3125,0.001099955,0.007929533333333334,0.017635599999999998,0.046162666666666664,0.009433966666666667,0.0,0.0,0.0,0.0,0.0,0.010614890909090909,0.029702999999999997,0.0,-0.52,0.0,0.0,0.0,0.32535099999999995,0.0,1.326053,43.0,0.0,0.0
0.0,0.3125,0.0027767666666666667,0.02153266666666667,0.03451181818181818,0.07734933333333334,0.046162666666666664,0.0,0.0,0.0,0.0,0.0,0.022085454545454544,0.05257333333333333,0.0,-0.36,-0.03105687499999994,1.0,0.014577259475218646,0.28829699999999997,0.0,1.2389434781341107,44.0,0.0,0.0
0.0,0.3125,0.004961566666666667,0.030550166666666666,0.054546,0.091823,0.07734933333333334,0.0,0.0,0.0,0.0,0.0,0.03766654545454545,0.071413,0.0,-0.19999999999999996,-0.03849874999999996,1.0,0.05539358600583094,0.2375455,0.0,1.154035916909621,45.0,0.0,0.0
0.0,0.3125,0.006426133333333334,0.037624333333333336,0.07559090909090908,0.096456,0.091823,0.0,0.0,0.0,0.0,0.0,0.055870363636363635,0.08343366666666667,0.0,-0.040000000000000036,-0.048138124999999934,1.0,0.11807580174927115,0.18106150000000001,0.0,1.0880095728862975,46.0,0.0,0.0
0.0,0.3125,0.006574566666666667,0.03625016666666667,0.09211363636363636,0.07572933333333333,0.096456,0.0,0.0,0.0,0.0,0.0,0.07326709090909089,0.07973566666666666,0.0,0.1200000000000001,-0.057999999999999975,1.0,0.19825072886297376,0.129406,0.0,1.0653317026239066,47.0,0.0,0.0
0.0,0.3125,0.0055469000000000004,0.028088000000000002,0.10374363636363636,0.053304,0.07572933333333333,0.0,0.0,0.0,0.0,0.0,0.08789581818181817,0.06704833333333333,0.0,0.28,-0.06632062499999994,1.0,0.2915451895043731,0.0906965,0.0,1.1031390626822155,48.0,0.0,0.0
0.0,0.3125,0.002906533333333333,0.012898316666666666,0.10960454545454545,0.026863066666666668,0.053304,0.0,0.0,0.0,0.0,0.0,0.09831599999999999,0.04775933333333333,0.0,0.43999999999999995,-0.07067999999999997,1.0,0.39358600583090386,0.066646,0.0,1.1993549096209912,49.0,0.0,0.0
0.0,0.3125,-0.006177116666666666,0.138072,0.11343836363636363,0.017571466666666667,0.026863066666666668,0.0,0.0,0.0,0.0,0.0,0.10557472727272726,0.0332692,0.0,0.6000000000000001,-0.06141437499999997,1.0,0.5,0.053315999999999995,0.0,1.3349479999999998,50.0,0.0,0.0
0.0,0.3125,-0.014016849999999999,0.13474516666666667,0.1396910909090909,0.12032433333333332,0.017571466666666667,0.0,0.0,0.0,0.0,0.0,0.12195054545454545,0.07505566666666667,0.0,0.76,-0.040389374999999936,1.0,0.6064139941690961,0.011947049999999999,0.0,1.3864242403790086,51.0,0.0,0.0
0.0,0.3125,-0.007931383333333333,0.1423765,0.20848545454545453,0.31530733333333333,0.12032433333333332,0.0,0.0,0.0,0.0,0.0,0.1634869090909091,0.190376,0.0,0.9199999999999999,-0.028491874999999993,1.0,0.7084548104956268,0.0,0.0,1.518950437317784,52.0,0.0,0.0
0.0,0.3125,-0.001652695,0.27762000000000003,0.30181454545454545,0.4277566666666666,0.31530733333333333,0.0,0.0,0.0,0.0,0.0,0.22988363636363635,0.304319,0.0,1.0,-0.026013125000000012,1.0,0.8017492711370262,0.0,0.0,1.6728862973760932,53.0,0.0,0.0
0.0,0.3125,-0.00040245499999999997,0.45557833333333336,0.3840436363636363,0.37688666666666665,0.4277566666666666,0.0,0.0,0.0,0.0,0.0,0.30388,0.33915,0.0,1.0,-0.025409374999999998,0.8666625000000004,0.8819241982507289,0.0,0.0,1.8051749271137028,54.0,0.0,0.0
0.0,0.3125,-0.00039273,0.5877083333333334,0.42989272727272726,0.21006866666666668,0.37688666666666665,0.0,0.0,0.0,0.0,0.0,0.3643872727272727,0.27717033333333335,0.0,1.0,-0.024819999999999964,-0.015199999999999936,0.9446064139941692,0.0,0.0,1.908600583090379,55.0,0.0,0.0
0.0,0.3125,-0.0003605116666666667,0.6329233333333334,0.43437272727272724,0.020542233333333333,0.21006866666666668,0.0,0.0,0.0,0.0,0.0,0.3979690909090909,0.15403033333333332,0.0,1.0,-0.024279374999999943,-0.9642687499999997,0.9854227405247813,0.0,0.0,1.9759475218658888,56.0,0.0,0.0
0.0,0.3125,0.000815155,0.5988749999999999,0.32418,-0.3217716666666667,-0.18327766666666667,0.0,0.0,0.0,0.0,0.0,0.3616563636363636,-0.15854633333333332,0.0,-1.0,0.0007850000000000218,0.7727500000000012,0.9854227405247813,0.0,0.0,1.9759475218658888,58.0,0.0,0.0
0.0,0.3125,-0.00015624533333333333,0.26548666666666665,0.006382581818181818,-0.15503233333333333,-0.36992,0.0,0.0,0.0,0.0,0.0,0.07045381818181817,-0.2710706666666667,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.35,62.0,0.0,0.0
0.0,0.3125,-0.00019207,-0.005320216666666666,0.005393563636363636,-0.004532933333333333,-0.15503233333333333,0.0,0.0,0.0,0.0,0.0,0.03922490909090909,-0.14313266666666666,0.0,-0.84,0.0,0.0,0.0,0.34516749999999996,1.0,4.385502499999999,63.0,0.0,0.0
0.0,0.3125,-0.00018576833333333335,-0.005248683333333334,0.0058175272727272725,0.0019431133333333332,-0.004532933333333333,0.0,0.0,0.0,0.0,0.0,0.023189454545454544,-0.07349633333333333,0.0,-0.6799999999999999,0.0,0.0,0.0,0.3445845,0.0,1.3837535,64.0,0.0,0.0
