frame,phase,rsTotal_ms,rsHead_ms,rsEnvProbe_ms,rsPortal_ms,rsSky_ms,rsTerrain_ms,rsTerrainDraw_ms,rsBatches_ms,rsProc_ms,rsObjects_ms,rsObjSubmit_ms,rsWheels_ms,rsWheelSubmit_ms,rsAnim_ms,rsDecorate_ms,rsLightFx_ms,rsHighlight_ms,rsParticles_ms,dmPost_ms,dmHud_ms,spRender_ms,spHead_ms,spTail_ms,spCalls,spCulled,spPkgr_ms,spTex_ms,spProg_ms,spLight_ms,spBlss_ms,spObjData_ms,spGifWait_ms,bdSize_ms,bdProg_ms,bdSizeCalc_ms,bdXform_ms,bdCache_ms,bdPlanes_ms,bdMain_ms,bbHit,bbRecalc,bbFresh,bbProbe,bbEntries,bbFrameEnd_ms,bbRecalcT_ms,dsRetain_ms,dsDirect_ms,dsCreate_ms,dsClassify_ms,dsRender_ms,dsFlush_ms,dsDirectBags,dsPartialBags,dsPackages,dsMergeParts,dsMaskCalls
130,0,30.412408,4.782610,4.516798,0.000468,0.262967,2.443848,2.432682,3.139547,3.463108,11.892483,11.427887,1.249861,1.199632,0.001217,0.000251,2.988227,0.000220,0.185282,0.002740,0.083798,25.452518,0.369493,0.195557,245,122,0.509226,0.599898,0.068776,0.260464,0.002777,1.811768,0.041680,1.105398,0.373328,0.329386,0.552487,0.666416,0.385454,0.455400,236,9,0,376,220,0.020206,0.142015,0.728543,2.042362,2.546071,1.832713,2.461612,10.350932,61,62,601,1379,296
131,0,25.969944,0.264235,0.000000,0.000634,0.393182,2.475810,2.464864,3.064555,3.505914,11.744331,11.362566,1.311791,1.262071,0.001272,0.000176,2.980245,0.000220,0.225118,0.002591,0.083805,21.390513,0.300541,0.188551,208,106,0.560828,0.489712,0.055525,0.256361,0.002540,1.348680,0.035261,0.807312,0.311832,0.165412,0.471157,0.576196,0.364390,0.370572,200,8,0,307,220,0.020206,0.131524,0.640079,1.791202,2.254340,1.536109,2.092909,8.536879,46,56,540,1267,242
132,0,30.279982,4.726620,4.722076,0.000468,0.263150,2.452942,2.441928,3.120748,3.461093,11.889330,11.397495,1.211165,1.160346,0.001333,0.000258,2.924120,0.000220,0.226461,0.002631,0.083825,25.218177,0.402791,0.193553,245,122,0.585246,0.510535,0.068231,0.261454,0.003004,1.735484,0.041395,1.029110,0.382992,0.202650,0.473982,0.684743,0.383667,0.487922,237,8,0,376,220,0.020199,0.120344,0.726525,2.038791,2.507643,1.878367,2.398855,10.388889,61,62,601,1379,296
133,0,25.589267,0.003933,0.000000,0.000553,0.288072,2.494832,2.483805,3.104838,3.476169,11.805610,11.372582,1.291263,1.240743,0.001217,0.000251,2.934313,0.000214,0.185716,0.002591,0.083716,21.102854,0.302355,0.185961,208,106,0.520613,0.454519,0.056040,0.214898,0.002282,1.557370,0.033288,0.848907,0.313371,0.201436,0.510461,0.517717,0.287967,0.375882,201,7,0,307,220,0.020084,0.073120,0.658461,1.543060,2.245300,1.592319,1.960714,8.495297,46,56,540,1267,242
134,0,30.236504,4.742801,4.738305,0.000481,0.301459,2.461412,2.450229,3.128550,3.465854,11.798245,11.366472,1.208032,1.158020,0.001197,0.000251,2.941447,0.000220,0.184367,0.002679,0.083371,25.355920,0.402174,0.268907,245,122,0.545685,0.508650,0.067908,0.256409,0.002770,1.746752,0.042443,1.028717,0.422265,0.202220,0.514435,0.757039,0.341058,0.457404,237,8,0,376,220,0.020145,0.119500,0.731177,2.158142,2.551815,1.921000,2.178470,10.503998,61,62,601,1379,296
135,0,25.526096,0.003893,0.000000,0.000498,0.306932,2.461616,2.451057,3.165137,3.457533,11.789680,11.356981,1.252180,1.201762,0.001441,0.000264,2.899339,0.000220,0.185079,0.002570,0.083601,21.157545,0.306580,0.219777,208,106,0.444739,0.494507,0.054684,0.250621,0.002458,1.388869,0.071323,0.931892,0.348117,0.209751,0.472605,0.527140,0.287577,0.373990,201,7,0,307,220,0.020165,0.073059,0.697150,1.540209,2.484450,1.762512,1.739777,8.653795,46,56,540,1267,242
136,0,30.200372,4.764143,4.759464,0.000502,0.303087,2.427083,2.415968,3.110514,3.468926,11.791979,11.361976,1.254072,1.203328,0.001177,0.000183,2.891866,0.000220,0.184102,0.002611,0.083337,25.263201,0.363149,0.221615,245,122,0.510125,0.509328,0.067420,0.256222,0.002842,1.789880,0.042992,1.102736,0.455129,0.243191,0.473880,0.636790,0.368978,0.457889,237,8,0,376,220,0.053389,0.085700,0.772607,2.120758,2.619375,2.025065,2.325399,10.285383,61,62,601,1379,296
137,0,25.605340,0.003899,0.000000,0.000498,0.346809,2.452311,2.441152,3.044657,3.455844,11.812609,11.432576,1.305939,1.256409,0.001211,0.000285,2.953050,0.000220,0.225647,0.002591,0.083499,21.251946,0.299737,0.196364,208,106,0.448964,0.484758,0.055162,0.213894,0.002533,1.382833,0.035024,0.850732,0.313097,0.166484,0.395074,0.555057,0.286635,0.412526,201,7,0,307,220,0.020043,0.113034,0.632019,1.718214,2.373844,1.625519,1.930417,8.729770,46,56,540,1267,242
138,0,30.384922,4.794308,4.489963,0.000468,0.303779,2.479574,2.468262,3.117208,3.416517,11.865831,11.435177,1.317936,1.197496,0.001217,0.000251,2.860928,0.000315,0.224453,0.002584,0.083662,25.447035,0.368079,0.197049,245,122,0.552395,0.626970,0.068407,0.260902,0.002926,1.730411,0.042413,1.065426,0.338084,0.200619,0.539744,0.697500,0.384793,0.530609,236,9,0,376,220,0.020165,0.179877,0.771315,2.207645,2.527100,1.929942,2.262631,10.226081,61,62,601,1379,296
139,0,25.921583,0.304925,0.000000,0.000654,0.368340,2.414632,2.404005,3.193136,3.502231,11.824531,11.398085,1.210290,1.159688,0.001217,0.000251,2.913120,0.000214,0.185832,0.002692,0.083662,21.243442,0.383982,0.184720,208,106,0.488546,0.488993,0.054979,0.213898,0.002475,1.403147,0.034597,0.851267,0.275048,0.170230,0.399563,0.705041,0.332920,0.415290,200,8,0,307,220,0.020043,0.208432,0.623244,1.581061,2.502421,1.744110,1.702284,8.580461,46,56,540,1267,242
