frame,phase,rsTotal_ms,rsHead_ms,rsEnvProbe_ms,rsPortal_ms,rsSky_ms,rsTerrain_ms,rsTerrainDraw_ms,rsBatches_ms,rsProc_ms,rsObjects_ms,rsObjSubmit_ms,rsWheels_ms,rsWheelSubmit_ms,rsAnim_ms,rsDecorate_ms,rsLightFx_ms,rsHighlight_ms,rsParticles_ms,dmPost_ms,dmHud_ms,spRender_ms,spHead_ms,spTail_ms,spCalls,spCulled,spPkgr_ms,spTex_ms,spProg_ms,spLight_ms,spBlss_ms,spObjData_ms,spGifWait_ms,bdSize_ms,bdProg_ms,bdSizeCalc_ms,bdXform_ms,bdCache_ms,bdPlanes_ms,bdMain_ms,bbHit,bbRecalc,bbFresh,bbProbe,bbEntries,bbFrameEnd_ms,bbRecalcT_ms,dsRetain_ms,dsDirect_ms,dsCreate_ms,dsClassify_ms,dsRender_ms,dsFlush_ms,dsDirectBags,dsPartialBags,dsPackages,dsMergeParts,dsMaskCalls
130,0,16.658929,1.524960,1.524109,0.000041,0.130700,0.965271,0.961592,1.174391,1.270359,4.875024,4.735341,2.979584,0.990621,0.000064,0.000034,3.664269,0.000003,0.073822,0.000448,0.068671,9.486131,0.073096,0.094689,245,122,0.295854,0.196225,0.010427,0.080777,0.002031,0.569634,0.017137,0.245375,0.075287,0.057322,0.391829,0.745490,0.160631,0.254930,234,11,0,352,220,0.010546,0.612335,0.178216,1.129547,1.843241,1.502407,1.158583,1.941725,61,62,601,1378,294
131,0,12.971439,0.282525,0.000000,0.000041,0.209646,0.942200,0.938521,1.179884,1.232300,4.938687,4.799004,2.974250,1.038608,0.000064,0.000034,1.137577,0.000003,0.073822,0.000448,0.048716,8.213403,0.061985,0.055115,208,106,0.279497,0.161489,0.008647,0.065979,0.001678,0.452660,0.013787,0.254791,0.063883,0.048665,0.327247,0.790046,0.119951,0.203013,197,11,0,286,220,0.010546,0.688246,0.146393,0.942671,1.764652,1.306156,0.902859,1.578668,46,56,544,1272,244
132,0,14.543538,1.885261,1.602793,0.000041,0.130700,0.939138,0.935459,1.188209,1.245304,4.919274,4.779592,2.971998,1.014899,0.000064,0.000034,1.189284,0.000003,0.073822,0.000448,0.066145,9.577603,0.073096,0.102878,245,122,0.295854,0.190528,0.010427,0.080777,0.002031,0.569546,0.017137,0.259111,0.089023,0.057322,0.353882,0.795241,0.158624,0.245076,233,12,0,352,220,0.010546,0.674238,0.198578,1.172258,1.833421,1.474118,1.135135,1.987308,61,62,601,1378,294
133,0,12.844662,0.000810,0.000000,0.000041,0.129208,0.936364,0.932685,1.195936,1.271769,4.884457,4.744775,2.994453,1.015316,0.000064,0.000034,1.357293,0.000003,0.073822,0.000448,0.038289,8.195960,0.061985,0.083445,208,106,0.299065,0.193214,0.008647,0.065979,0.001678,0.458737,0.013787,0.210039,0.063883,0.048665,0.339359,0.749312,0.119951,0.189467,198,10,0,286,220,0.010546,0.625031,0.146162,0.984897,1.704332,1.305779,0.959880,1.523749,46,56,544,1272,244
134,0,14.194387,1.536391,1.535539,0.000041,0.130700,0.939162,0.935482,1.191098,1.254320,4.897956,4.758274,2.959510,1.008423,0.000064,0.000034,1.210880,0.000003,0.073822,0.000448,0.068977,9.506677,0.092529,0.073920,245,122,0.318224,0.188561,0.010427,0.080777,0.002031,0.544790,0.017137,0.278239,0.108151,0.057322,0.353882,0.760596,0.138177,0.224742,234,11,0,352,220,0.010546,0.639567,0.175893,1.183187,1.801280,1.463128,1.205987,1.959605,61,62,601,1378,294
135,0,12.742296,0.000810,0.000000,0.000041,0.129208,0.946777,0.943098,1.204166,1.249552,4.930122,4.790439,2.945143,0.973202,0.000064,0.000034,1.262146,0.000003,0.073822,0.000448,0.068637,8.115245,0.061985,0.074883,208,106,0.283162,0.172475,0.008647,0.079553,0.001678,0.438195,0.013787,0.210039,0.063883,0.048665,0.300323,0.719503,0.138885,0.189467,198,10,0,286,220,0.010546,0.605292,0.164493,0.906745,1.758236,1.321292,0.999824,1.511088,46,56,544,1272,244
136,0,14.190484,1.487108,1.486257,0.000041,0.153154,0.943831,0.940152,1.189846,1.245199,4.946238,4.787096,2.947181,0.990360,0.000064,0.000034,1.203556,0.000003,0.073822,0.000448,0.077572,9.465766,0.073096,0.096381,245,122,0.316505,0.195919,0.010427,0.080777,0.002031,0.551805,0.017137,0.245375,0.075287,0.057322,0.353882,0.726420,0.158376,0.222761,234,11,0,352,220,0.010546,0.605391,0.175893,1.140981,1.805094,1.447188,1.204939,1.991272,61,62,601,1378,294
137,0,12.698914,0.000810,0.000000,0.000041,0.129208,0.940514,0.936835,1.211185,1.233375,4.948808,4.809126,2.944634,0.974884,0.000064,0.000034,1.216007,0.000003,0.073822,0.000448,0.058228,8.116472,0.061985,0.070814,208,106,0.284485,0.175696,0.008647,0.065979,0.001678,0.438195,0.013787,0.214183,0.066111,0.050581,0.348385,0.728227,0.119951,0.189467,198,10,0,286,220,0.010546,0.606974,0.146162,0.918918,1.777523,1.336856,0.938185,1.531928,46,56,544,1272,244
138,0,14.271732,1.488458,1.487606,0.000041,0.130700,0.957550,0.953871,1.205037,1.228461,4.951497,4.811815,2.967261,0.986884,0.000064,0.000034,1.268395,0.000003,0.073822,0.000448,0.061720,9.434414,0.090224,0.073842,245,122,0.307895,0.165995,0.010427,0.080777,0.002031,0.526669,0.017137,0.267744,0.075287,0.057322,0.372969,0.741808,0.138177,0.241638,234,11,0,352,220,0.010546,0.607110,0.175893,1.132284,1.850406,1.514950,1.216926,1.924879,61,62,601,1378,294
139,0,12.790283,0.000810,0.000000,0.000041,0.142795,0.928219,0.924540,1.204122,1.231784,4.934597,4.794915,2.973599,1.039537,0.000064,0.000034,1.299984,0.000003,0.073822,0.000448,0.117778,8.190426,0.082045,0.123711,208,106,0.283393,0.173374,0.008647,0.065979,0.001678,0.460982,0.013787,0.210039,0.063883,0.048665,0.315250,0.734792,0.119951,0.211843,198,10,0,286,220,0.010546,0.632965,0.180657,0.908780,1.713477,1.328512,0.937347,1.562419,46,56,544,1272,244
