frame,phase,rsTotal_ms,rsHead_ms,rsEnvProbe_ms,rsPortal_ms,rsSky_ms,rsTerrain_ms,rsTerrainDraw_ms,rsBatches_ms,rsProc_ms,rsObjects_ms,rsObjSubmit_ms,rsWheels_ms,rsWheelSubmit_ms,rsAnim_ms,rsDecorate_ms,rsLightFx_ms,rsHighlight_ms,rsParticles_ms,dmPost_ms,dmHud_ms,spRender_ms,spHead_ms,spTail_ms,spCalls,spCulled,spPkgr_ms,spTex_ms,spProg_ms,spLight_ms,spBlss_ms,spObjData_ms,spGifWait_ms,bdSize_ms,bdProg_ms,bdSizeCalc_ms,bdXform_ms,bdCache_ms,bdPlanes_ms,bdMain_ms,bbHit,bbRecalc,bbFresh,bbProbe,bbEntries,bbFrameEnd_ms,bbRecalcT_ms,dsRetain_ms,dsDirect_ms,dsCreate_ms,dsClassify_ms,dsRender_ms,dsFlush_ms,dsDirectBags,dsPartialBags,dsPackages,dsMergeParts,dsMaskCalls
120,0,14.430952,1.518009,1.517158,0.000041,0.127709,0.984460,0.980781,1.195126,1.319661,4.942627,4.802965,2.956824,0.993676,0.000064,0.000034,1.313341,0.000003,0.072645,0.000448,0.057058,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
121,0,12.963972,0.000810,0.000000,0.000041,0.127845,0.978119,0.974440,1.189443,1.326355,4.938171,4.798509,2.948619,0.992062,0.000064,0.000034,1.381415,0.000003,0.072645,0.000448,0.067434,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
122,0,14.800791,1.790629,1.789778,0.000041,0.141354,1.001621,0.997942,1.189572,1.303880,4.897546,4.694326,2.987145,0.993825,0.000064,0.000034,1.415849,0.000003,0.072645,0.000448,0.091780,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
123,0,12.863271,0.000810,0.000000,0.000041,0.127845,0.968394,0.964715,1.207394,1.305654,4.928314,4.788652,2.991703,1.018646,0.000064,0.000034,1.259962,0.000003,0.072645,0.000448,0.053565,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
124,0,14.439687,1.578817,1.577966,0.000041,0.127709,0.957726,0.954047,1.218560,1.309591,4.929440,4.789778,2.975186,0.992093,0.000064,0.000034,1.269463,0.000003,0.072645,0.000448,0.067451,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
125,0,12.785133,0.000810,0.000000,0.000041,0.127845,0.975454,0.971775,1.196204,1.302782,4.940891,4.801229,2.978868,1.014289,0.000064,0.000034,1.189084,0.000003,0.072645,0.000448,0.057041,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
126,0,14.618958,1.514547,1.513696,0.000041,0.127709,0.965549,0.961870,1.229265,1.299588,4.935903,4.771613,2.983283,1.027907,0.000064,0.000034,1.489919,0.000003,0.072645,0.000448,0.056566,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
127,0,13.178345,0.000810,0.000000,0.000041,0.141513,0.955783,0.952104,1.211439,1.301541,4.947886,4.808224,2.987851,1.013136,0.000064,0.000034,1.541894,0.000003,0.089077,0.000448,0.266113,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
128,0,14.710507,1.766313,1.765462,0.000041,0.127709,0.957625,0.953946,1.212016,1.326162,4.889459,4.749797,2.975796,0.992493,0.000064,0.000034,1.382233,0.000003,0.072645,0.000448,0.051039,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
129,0,12.951531,0.000810,0.000000,0.000041,0.146915,0.962375,0.958696,1.204298,1.294630,4.937395,4.760959,2.985365,1.009410,0.000064,0.000034,1.346547,0.000003,0.072645,0.000448,0.060788,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0
