frame,phase,fps
120,0,25.000
150,0,25.000
180,0,25.000
210,0,25.000
240,0,24.999
270,0,25.000
300,0,25.000
330,0,25.000
480,1,25.001
510,1,25.000
540,1,25.000
570,1,25.000
600,1,25.000
630,1,25.000
660,1,25.001
690,1,25.000
840,2,50.000
870,2,50.000
900,2,50.000
930,2,50.000
960,2,49.999
990,2,50.003
1020,2,49.999
1050,2,50.001
1200,3,50.000
1230,3,50.000
1260,3,50.000
1290,3,50.000
1320,3,50.000
1350,3,50.000
1380,3,49.998
1410,3,50.002
